id,pass,date,reviewer,surface,component,lifecycle_stage,category,severity,title,user_comment,orchestrator_take,observed,expected,evidence,value,effort,framework_anchor,kano,rice_score,moscow,downstream_target,linked_plan,linked_commit,status
UXL-023,1,2026-04-22,orchestrator,agentic,memory-layer,context-of-use,idea,IDEA,LL-25 — Dream consolidation skill concept (LL→CLAUDE.md promotion),"**LL-25 follow-on: Dream consolidation skill concept** — Potential skill mimicking CC Layer 6 (Dreaming) for `lessons-learned.md` → CLAUDE.md promotion workflow. Would formalize the ""lessons-referenced protocols"" pattern.","Formalizes 'lessons-referenced protocols' pattern. Docs refresh reveals auto-memory ALREADY implements Layer-6-Dreaming-adjacent behavior (Claude decides what's worth remembering; writes to MEMORY.md index + topic files). 'Dream consolidation skill' scope is now narrower: LL promotion to CLAUDE.md (human-curated), NOT general memory consolidation (Claude already does this).",,,notes/TODO.md:81; LL-25,M,H,DP4;LL-25,,,,skill,,,triaged
UXL-025,1,2026-04-22,orchestrator,meta,claudemd-layer,design,drift,MAJOR,Global CLAUDE.md v2 — Extension Registry removal + Plugin Hygiene Policy reinvestment,"**Global CLAUDE.md v2 Architecture Upgrade** — Session 27 origin. Diagnosis: global CLAUDE.md mixes 4 content types (Identity/Framework/Policy/Inventory); Inventory (Extension Registry) is anti-pattern that caused LL-27. Proposal: delete Extension Registry, replace with compact Plugin Hygiene Policy block (5-6 lines), optionally move shadowing rule to `~/.claude/rules/meta/plugin-hygiene.md`, reinvest freed ~25 lines into orchestration heuristics / multi-disciplinary lens policy / behavioral invariants. Candidate LL-30 (proc): ""Hand-maintained inventories in global memory are anti-patterns because they duplicate runtime-provided state and drift."" Queued behind Phase D HydroCast comparison per Session 27 user directive. Execution plan: G.1-G.6 phases (draft v2 side-by-side, reinvestment content, HITL gate, replace, optional rules/meta/ extraction, LL-30 outcome).",Candidate LL-30 proc. Queued behind Phase D HydroCast comparison per Session 27 user directive. Supersedes UXL-014/UXL-015 partially.,,,notes/TODO.md:86-134; Session 27 diagnosis,H,M,DP1;DP3;LL-27,,,,LL,,,triaged
UXL-026,1,2026-04-22,orchestrator,meta,lessons-learned,evaluation,gap,MAJOR,LL-19/LL-20 protocol counter — structural enforcement for sycophantic-agreement pattern,**LL-19/LL-20 protocol counter** (ACTIVE-P0 in lessons-learned.md) — sycophantic-agreement-with-persistence-gaps recurrence pattern needs structural counter. Currently meta-lesson without enforcement layer.,"Meta-lesson without enforcement. Options: hook (prompt-type, not security-gate), output-style annotation, or CLAUDE.md invariant. Needs design before implementation.",,,notes/TODO.md:27; LL-19; LL-20,H,M,DP6;DP7;LL-19;LL-20,,,,hook,,,triaged
UXL-029,1,2026-04-22,orchestrator,integration,hooks,requirements,gap,MAJOR,LL-17 worktree auto-detect (pre-commit branch context verification),**LL-17 worktree auto-detect** (ACTIVE-P1) — pre-commit branch context verification + worktree suggestion when concurrent-session risk detected. KB exists; programmatic surface does not.,KB exists; programmatic surface does not. Pre-commit hook detects concurrent-session risk + suggests worktree.,,,notes/TODO.md:34; LL-17,M,M,DP7;LL-17,,,,hook,,,triaged
UXL-030,1,2026-04-22,orchestrator,integration,hooks,requirements,gap,MINOR,LL-10 fresh-fetch pre-edit hook (KB files referencing official CC docs),**LL-10 fresh-fetch pre-edit hook** (ACTIVE-P2) — pre-edit gate on KB files referencing official CC docs.,Pre-edit gate enforcing LL-10 fresh-fetch obligation. Scope: KB files with source: referencing CC-docs URLs.,,,notes/TODO.md:40; LL-10,M,M,DP7;LL-10,,,,hook,,,triaged
UXL-034,1,2026-04-22,orchestrator,meta,state-management,context-of-use,idea,MINOR,state-mgmt-capture skill — generalize bootstrap-cost.sh into modal token counter across all state-mgmt ops,"State-mgmt token counter skill — generalize existing hooks/scripts/bootstrap-cost.sh (bootstrap-only measurement) into a holistic state-management operation counter. User directive 2026-04-22: ""it will be ideal to eventually have the token counter for all state management operations, instead of just bootstrapping cost (could have specific state mgmt modules/components as modes e.g. a potential skill 'state-mgmt-capture --bootstrap'), so we iteratively build some tangible KPIs to work with to potentially enhance in reinforcing learning, systematic manner."" Envisioned modes: --bootstrap (current coverage), --tracker-update (per-UXL-resolution cost), --close-session (EOD state snapshot cost), --compaction (pre/post /compact delta). Output: timeseries in notes/state-mgmt-cost-log.md + per-mode KPI rollup. DP2-aligned: skill SKILL.md wraps deterministic measurement scripts co-located at skills/state-mgmt-capture/scripts/. Natural home for subsuming UXL-033's helper script once it matures.","M-effort; requires proper /cab:plan-implementation before execution per new prioritization-discipline standard. Prerequisites: ≥5 tracker resolutions worth of cost data to establish baseline signal; confirmed stability of per-operation token profile. Couples to UXL-033 (helper script absorbable into skill), UXL-018 (bootstrap measurement baseline — already operational), LL-29 (quality-over-tokens invariant — instrumentation supports the SIGNAL philosophy, does not enforce ceilings). Deferred to prioritization pass output.",,,User directive 2026-04-22; hooks/scripts/bootstrap-cost.sh (existing baseline),H,M,DP2;DP3;DP7;LL-29,,,,skill,,,triaged
UXL-035,1,2026-04-23,orchestrator,meta,conventions,design,idea,MINOR,Formalize cross-project 'CAB-side deliverable + external-repo apply' propagation pattern,"Pattern surfaced during Wave 1 UXL-020 RAS-exec LL-25 propagation: CAB session produced patch-ready artifact (notes/ll-25-propagation-status-2026-04-22.md) with concrete diff + apply instructions + commit template; physical apply happens in target repo's own CC session. User directive 2026-04-23: 'agreed ""CAB-side deliverable + external-repo apply"" pattern proved useful and would be open to potentially formalizing as a pattern for future cross-project UXL rows.' Deliverable: template artifact structure + convention for when CAB-side work is 'done' vs 'needs external apply' + cross-reference schema back to tracker + documentation in appropriate operational-patterns KB card.","Standalone scope; low effort. Produces: (a) template file at skills/ or knowledge/operational-patterns/ for propagation artifacts, (b) short KB section documenting the pattern + when to use, (c) tracker convention for rows with cross-project physical apply (possibly a new downstream_target value like `external-apply` or a `linked_external_commit` column). Couples to UXL-004 (CAB-to-project bridge architecture) conceptually but standalone in execution. Wave 11 placement.",,,UXL-020 Wave 1 execution; notes/ll-25-propagation-status-2026-04-22.md,M,L,DP3;DP5;DP8,,,C,KB,,,triaged
UXL-036,1,2026-04-23,orchestrator,integration,state-management,evaluation,gap,MAJOR,HydroCast comprehensive state-mgmt alignment audit (post-Wave-5/6 per user directive),"User directive 2026-04-23 after UXL-021 close review: 'could you clarify how in-depth your audit of Hydrocast and ras-exec was in terms of verifying the alignment of the latest optimized state mgmt standardizations of CAB vs. existing ones in the two projects? ... we've made some solid optimizations like the L-effort token-efficient mechanisms we should be catching in the audit to have them updated effectively. I want us to be careful and strategic about the alignment update of hydrocast b/c of this self-correcting loop scenario we have here (not so worried about ras-exec as this project is kind of on pause and will be willing to go through the full audit via the existing CC skill/command later, but hydrocast is active). make sure you refresh on context on how we/CAB adopted the UX log from hydrocast's original UI/UX log (that is geared towards GUI/front-end).' Dimensions to audit: (1) bootstrap-read-pattern (CAB 3-file cascade vs HydroCast LC-08 3-layer); (2) hook presence (pre-push-state-review, enforce-current-task-budget, bg-agent-post-check from UXL-028); (3) T1 boundary conventions; (4) LL classification + priority schema; (5) kb-conventions (frontmatter, source:, confidence tier, review_by); (6) memory-layer adoption (agent-memory/ + memory: field per UXL-031/032); (7) UX-log tracker pattern backport (HydroCast's notes/gui-review-comments/ → CAB's tiered notes/ux-log-*.csv with helper + active-top sort); (8) prioritization-frameworks adoption.","Deferred to post-Wave-5/6 per user directive — CAB still iterating state-mgmt (Wave 5 LL-28 state-write protocol + Wave 6 CLAUDE.md v2 + state-mgmt-capture skill). Aligning HydroCast now = redundant work when Wave 5/6 lands. HydroCast Phase D comparison (queued on PR #8 merge; see prior current-task.md) will naturally surface alignment deltas as byproduct of its read-only comparison. Couple with Phase D output where available. Self-correcting loop flagged by user: CAB's current UX-log tracker pattern evolved FROM HydroCast's original gui-review-comments/ pattern, now has CAB-specific ergonomic optimizations (tiered schema T1-T7, active-top sort, helper script) that HydroCast could backport. Wave 10 placement.",,,UXL-020/UXL-021 Wave 1 superficial gap analysis; user 2026-04-23 directive,H,H,DP3;DP4;DP5;LL-27,,,S,followup,,,triaged
UXL-037,1,2026-04-24,user,meta,knowledge-base,evaluation,gap,MAJOR,CAB design principles ↔ extensions alignment audit (DP1-DP9 coverage matrix),"User directive 2026-04-24 (embedded verbatim): ""there is definitely a growing need for us to better holistically and diligently strategize how to more systematically/programmatically/agentically leverage the CAB KB packs into effectively extracted/tailored CC extensions (e.g. all design principles of CAB being turned into modularized rules, core identity via CLAUDEmd, specific subagent-memory, as well as into practically composed domain-specialized skills and subagents. then finally, into structured practically standardized orchestration/operational workflow and state mgmt practices based on CAB's context engineering protocols). do the latest CAB extensions, which ought to be domain-specialized to CAB essentially, even properly reflect the design principles for example?"" Scope: systematic audit mapping each design principle (DP1-DP9 @knowledge/overview/design-principles.md) to concrete CAB extension manifestations (rules / CLAUDE.md sections / subagent-memory / skills / agents / hooks). Output: coverage matrix identifying (a) principles well-represented, (b) principles under-represented (gaps), (c) principles represented redundantly (possible consolidation).",Wave 8 concern per user framing. Couples tightly to UXL-005 (KB→KG standardization) since a coverage matrix is essentially a graph view of the CAB KB↔extensions relationship. Also couples to UXL-022 + UXL-032 memory-layer trio (memory layer is one of the principle-manifestation surfaces). Deferred to post-Wave-5/6 for the same reason as UXL-036 (CAB still iterating state-mgmt; audit against moving target is wasted work). Natural fit for a sub-phase within UXL-005 execution or immediately after.,,,User directive 2026-04-24; knowledge/overview/design-principles.md,H,M,DP1;DP2;DP3;DP5,,,S,KB,,,triaged
UXL-038,1,2026-04-24,user,meta,claudemd-layer,context-of-use,idea,IDEA,Agentic OS platform end-vision — skill=software=modularized-codebase deep dive,"User directive 2026-04-24 (embedded verbatim, end-vision note): ""If we regard CAB as another 'traditional project' with a codebase, including src\, docs\, all the typical traditional codebase will consist of, where we then seamlessly integrate CC to be living alongside with the codebase to turn the project into an 'agentic OS platform' (codebase + LLM CLI), each domain-specialized skill will be the live, walking, iterative/dynamic KB packs where each eventually builds up to be skill = software = modularized codebase into specific domain-specialized skillsets, so the 'agentic OS platform' i keep coining will eventually effectively be merged into a single platform, where all core processors under the traditional codebase schema src\ will now be systematized into specialized CC skills (custom NL instruction for agentic reasoning in markdown and orchestration + utility scripts of the src\ + tailored KB cards into the skill's references folder programmatically). CAB is somewhat unique b/c we're jumping straight into this merged agentic OS platform vision since it didn't have an existing traditional codebase like GTA, Hydrocast projects for example. to clarify, this end-vision is not a strict requirement, and i'm not certain whether the native CC have the adequate capabilities for me to realize this practically today as well. I just wanted to have this in your purview as we push through the UX wave plan and re-thinking through many of our original/possibly outdated philosophies and system designs. i'd be curious whether you think the current skills list reflect this end-vision (aka do the existing skills and agents, along with the rules and memory, fully cover all aspects of static KB packs into agentic, readily actionables?)""","Strategic end-vision framing, not immediate actionable. User explicitly marks 'not a strict requirement' and 'not certain native CC has capabilities today.' Deferred to Wave 8+ per user framing: 'likely ways to go before we come across this phase task.' Intellectual ancestor referenced: ~/.claude/backups/_archive/rules-old/coding-philosophy/design-agent-pipeline.md (DP2's elaboration origin — skills housing both agentic NL instruction + deterministic utility scripts + references KB). Deep-dive scope when executed: (1) survey current 10 CAB skills for agentic-OS readiness — do they house scripts + references + orchestration logic per the skill=software equation?; (2) identify gaps where static-KB content hasn't been translated into agentic surface; (3) evaluate native CC capability against the end-vision (what works today vs what requires platform evolution); (4) produce end-vision roadmap with actionable near-term vs aspirational long-term split. Couples to UXL-005 (KG), UXL-037 (DP alignment), UXL-002 (commands→skills migration — which surfaces the skill-as-module pattern already).",,,User directive 2026-04-24; ~/.claude/backups/_archive/rules-old/coding-philosophy/design-agent-pipeline.md (DP2 intellectual ancestor),H,H,DP2;DP5;DP8;DP9,,,C,followup,,,triaged
UXL-009,1,2026-04-22,user,meta,knowledge-base,context-of-use,idea,IDEA,HydroCast kb-standardization-plan pattern extraction for CAB KG,"Review HydroCast's `kb-standardization-plan.md` (path: `Flood-Forecasting/knowledge/reference/kb-standardization-plan.md`) for its agentic/programmatic knowledge-graph patterns. Evaluate which patterns are extractable as CAB-generalizable conventions for the KB → knowledge-graph architecture work (cross-refs UXL-005). Produce a pattern-extraction summary + recommendation for what, if anything, to absorb into CAB's `kb-conventions.md` rule or a new KB card.",DEFERRED per user directive until current plan fully executes. Cross-refs UXL-005 (root-cause framing). Deliverable: pattern-extraction summary + absorption recommendation into kb-conventions.md or new KB card.,,,User directive 2026-04-22 session turn,H,M,DP3;DP8,,,,KB,,,deferred
UXL-010,1,2026-04-22,user,integration,mcp-servers,context-of-use,idea,IDEA,"AgentContextGraphVisualizer feasibility eval — custom CAB-native KG visualizer (CLI/tool, not VS Code ext)","Review 3rd-party repo: https://github.com/nicollorens12/AgentContextGraphVisualizer (unverified, not yet used by user). Evaluate feasibility of building a custom CAB-native equivalent for visualizing the context knowledge graph (cross-refs UXL-005). Constraints: CLI/tool form, NOT VS Code extension. Decision to make: integrate into CAB repo directly, or develop as separate distinct repo that CAB (and other CC-integrated projects) call as a dependency. Produce a feasibility summary + storage/architecture recommendation.",DEFERRED per user directive. Cross-refs UXL-005. Decision axes: (a) CAB-internal vs separate distinct repo; (b) CLI vs programmatic library; (c) input format (KB frontmatter → graph). Deliverable: feasibility summary + storage/arch recommendation.,,,User directive; https://github.com/nicollorens12/AgentContextGraphVisualizer,M,H,DP8;DP5,,,,followup,,,deferred
UXL-027,1,2026-04-22,orchestrator,integration,hooks,requirements,gap,MAJOR,LL-02/LL-12 background-write gate (pre-delegation hook),**LL-02 / LL-12 background-write gate** (ACTIVE-P1) — pre-delegation hook detecting `run_in_background: true` + Write/Edit/NotebookEdit tool intent. Recurring failure mode since LL-02 first logged.,"Recurring failure mode since LL-02. Pre-delegation hook detects run_in_background:true + Write/Edit/NotebookEdit intent; blocks or warns. → WONTFIX (2026-04-23 SME review): LL-02/12 empirically not recurring post rules/memory integration + Claude model upgrades; subagent `tools:` frontmatter already gates write capability structurally (separate allowlist would duplicate info — LL-27-shaped inventory-drift anti-pattern applied to hook design); heuristic prompt-regex matching is fuzzy + adds perf tax on every Agent invocation. Dual-POV check (memory/feedback_dual_pov_check.md) argued against over-build. Escalation path: if LL-02/12 recurs, file fresh row with empirical data.",,,notes/TODO.md:32; LL-02; LL-12,H,M,DP7;LL-02;LL-12,,,,hook,,,wontfix
UXL-028,1,2026-04-22,orchestrator,agentic,verification,evaluation,gap,MAJOR,LL-08 background-output persistence verification (post-agent artifact check),**LL-08 background-output persistence verification** (ACTIVE-P1) — post-agent step that checks for expected artifact files before treating output as authoritative.,"Post-agent verification step. Complements LL-02/LL-12 pre-gate (UXL-027) with post-condition check. Together they bracket the background-agent write failure class.

â†’ WONTFIX (2026-04-23 SME review, post-prototype-benchmark): UXL-028 prototype script hooks/scripts/bg-agent-post-check.sh was built, tested against F004/F005/F006 fixtures (all functional pass), then perf-benchmarked â€” 100 iterations took 2m7s = ~1.27s/fire on Windows Git Bash, ~60x the 20ms acceptance criterion. Python cold-start + process-spawn overhead dominates; no redesign path within the Bash+Python architecture meets <20ms target. Combined with LL-08 empirical non-recurrence (same cohort as LL-02/12), both Wave 2 rows fail dual-POV check. Artifacts deleted (script + plan). Escalation path preserved: if LL-08 recurs with evidence, file fresh row with measurement data + pure-bash or compiled redesign investigation.",,,notes/TODO.md:33; LL-08,H,M,DP7;LL-08,,,,hook,,,wontfix
UXL-007,1,2026-04-22,user,meta,claudemd-layer,evaluation,question,QUESTION,Confirm CAB CLAUDE.md as U-shaped attention standard template + memory-layer alignment,"please confirm whether our latest insights as we were updating the CLAUDEmd of CAB to apply the U-shaped attention curve structure as the effective holistically standardized template CAB advisory will implement, as I really liked it. the standard template should follow mostly to the current @CLAUDE.md of CAB as one of the latest architecture I approve and find it to be quite useful (wouldn't necessarily say it's perfect either so feel free if there is any more optimizations we could make to fully efficiently utilize the precious limited 200-line artifact to describe the core identity/SME). needless to say, CLAUDmd standardization should be actively coupled with the holistically modularized rules, as well as, the latest new distinct ~.claude/<project>/memory/ in global config as well as the your-project / .claude / agent-memory in project config, so we're not inefficiently creating conflicts, duplications, or redudancy.","CONFIRMED per 2026-04-22 CC-docs refresh: (a) CAB CLAUDE.md (commit 2de116d) U-shape structure is the current baseline template; (b) user's memory-layer mental model IS CORRECT — ~/.claude/projects/<project>/memory/ is main-agent auto-memory (per-worktree, MEMORY.md index + topic files, 200L/25KB auto-load), and .claude/agent-memory/<name>/ is project-scoped subagent memory. Additional scope discovered: .claude/agent-memory-local/<name>/ for gitignored subagent memory. CAB's component-standards.md needed refresh (see UXL-031). Couples directly to UXL-022. → RESOLVED: Answered via Phase 5 CC-docs refresh (commit b537f25) + authoritative KB card cc-memory-layer-alignment.md (commit 7db3a2a). User's memory-layer mental model confirmed correct.",,,commit 2de116d; CLAUDE.md template; ~/.claude/projects/*/memory/ global layer,H,L,DP1;DP3,,,,rule,notes/impl-plan-ux-log-tracker-2026-04-22.md#phase-5,b537f25;7db3a2a,resolved
